imo_number,mmsi,name,vessel_class,ship_type,flag,dwt_mt,gross_tonnage,loa_m,beam_m,max_draft_m,cargo_capacity_mt,year_built,source,source_reference,provenance,observed_at,identity_classification
9383651,256996000,BOMAR SEDNA,Chemical/Oil Products Tanker,Chemical/Oil Products Tanker,,8026.0,5713.0,101.0,18.0,7.6,,2008.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9245823,224049190,V.B. GLACIAL,Tug,Tug,,190.0,354.0,30.0,12.0,3.35,,2001.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9195535,236452000,EEMS EXE,General Cargo Ship,General Cargo Ship,,3813.0,2535.0,89.0,12.0,5.34,,2003.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9507374,248835000,WILSON ALICANTE,General Cargo Ship,General Cargo Ship,,3600.0,2451.0,90.0,13.0,5.139,,2010.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
,,NEUENFELDE,Passenger ship,Passenger ship,,,,27.0,7.0,,,,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,REFERENCE_ONLY
9225574,304146000,KARIN LEHMANN,General Cargo Ship,General Cargo Ship,,4071.0,2820.0,88.0,14.0,5.69,,2000.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9164421,304486000,MICHAEL J,Container Ship,Container Ship,,6770.0,5850.0,120.0,20.0,6.597,,1998.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
,,SVANEN,Sailing vessel,Sailing vessel,,,,20.0,5.0,,,,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,REFERENCE_ONLY
,,VISION,Cargo ship,Cargo ship,,,,183.0,11.0,,,,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,REFERENCE_ONLY
9350886,246262000,CORAL LOPHELIA,LPG Tanker,LPG Tanker,,6175.0,5440.0,108.0,17.0,7.5,,2006.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9320726,636013565,ALCOR,Crude Oil Tanker,Crude Oil Tanker,,166546.0,86952.0,284.0,49.0,16.5,,2007.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
,,WIJKERZAND,Cargo ship,Cargo ship,,,,102.0,8.0,,,,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,REFERENCE_ONLY
8414790,244275000,GEOPOTES 15,Hopper Dredger,Hopper Dredger,,15057.0,10188.0,133.0,24.0,8.1,,1985.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9369083,306849000,ALEXIA,General Cargo Ship,General Cargo Ship,,11149.0,7878.0,146.0,18.0,7.45,,2008.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9551662,305671000,GRONA AALSUM,General Cargo Ship,General Cargo Ship,,5134.0,3500.0,100.0,14.0,6.15,,2010.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
8706727,247044300,LIBURNA,Passenger/Ro-Ro Cargo Ship,Passenger/Ro-Ro Cargo Ship,,480.0,1551.0,71.0,16.0,,,1988.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
6907169,211327150,TAUCHER WULF 5,Tug,Tug,,99.0,154.0,30.0,8.0,3.209,,1968.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
9237357,354277000,CARNIVAL MIRACLE,Passenger (Cruise) Ship,Passenger (Cruise) Ship,,7089.0,85942.0,292.0,32.0,7.8,,2004.0,MarineVessels,https://github.com/rich-iannone/MarineVessels,PUBLIC_PROXY,,INGESTABLE
